id,value
darkmarket, 20,103
openmarket, 10,054
exchange, 6,660
blackjack, 5,910
tickets, 2,977
payment, 2,600
trading, 2,563
registry, 2,509
jackpot, 2,123
lottery, 1,700
finance, 1,610
banking, 1,601
identity, 1,555
insurance, 1,500
messenger, 1,334

